PolicyID,Name,DOB,PolicyNumber,InsuranceType,IssueDate,ExpiryDate,PremiumAmount,AccountNumber,IFSCCode,GSTNumber,FamilyID,NomineeName,Details
INS-313228,Gloria Wood,1965-10-11,4237163,Health,2021-01-16,2025-04-10,34750.46,PERT50419801741381,BQKE09375,36LTD5595Z7,FID-1027,Stacy Simpson,"Gloria Wood holds a Health insurance with policy number 4237163. It was issued on 2021-01-16 and is valid till 2025-04-10. The premium is ₹34750.46. Family ID: FID-1027. Nominee: Stacy Simpson. IFSC: BQKE09375, GST: 36LTD5595Z7."
INS-104516,Belinda Tucker,1970-04-16,6552129,Travel,2022-05-15,2024-11-11,44963.7,MMED51247440608377,QMXZ03396,59INC9792Z7,FID-1010,Alyssa Martin,"Belinda Tucker holds a Travel insurance with policy number 6552129. It was issued on 2022-05-15 and is valid till 2024-11-11. The premium is ₹44963.7. Family ID: FID-1010. Nominee: Alyssa Martin. IFSC: QMXZ03396, GST: 59INC9792Z7."
INS-623046,Zachary Hall,1954-12-20,1243125,Vehicle,2021-08-06,2023-09-02,33778.01,VTCV72267566964132,QYSL09862,39INC1377Z4,FID-1046,Amy Stewart,"Zachary Hall holds a Vehicle insurance with policy number 1243125. It was issued on 2021-08-06 and is valid till 2023-09-02. The premium is ₹33778.01. Family ID: FID-1046. Nominee: Amy Stewart. IFSC: QYSL09862, GST: 39INC1377Z4."
INS-381211,Elizabeth Long,1979-03-16,3825151,Health,2021-10-11,2024-07-18,23336.0,YKNZ76643041904210,MIFL05390,15LLC4277Z8,FID-1026,Elizabeth Long,"Elizabeth Long holds a Health insurance with policy number 3825151. It was issued on 2021-10-11 and is valid till 2024-07-18. The premium is ₹23336.0. Family ID: FID-1026. Nominee: Elizabeth Long. IFSC: MIFL05390, GST: 15LLC4277Z8."
INS-422008,Mackenzie Taylor,1983-11-22,4848476,Travel,2023-01-11,2024-09-01,31041.3,LHSQ28318819130562,JELV05093,75LLC1904Z3,FID-1015,Jesus Rogers MD,"Mackenzie Taylor holds a Travel insurance with policy number 4848476. It was issued on 2023-01-11 and is valid till 2024-09-01. The premium is ₹31041.3. Family ID: FID-1015. Nominee: Jesus Rogers MD. IFSC: JELV05093, GST: 75LLC1904Z3."
INS-660589,Stacy Simpson,1968-07-17,1808540,Health,2024-06-09,2025-11-29,8929.29,THSM29327413466946,BDPC01550,27LTD6048Z8,FID-1027,Jonathan Horne,"Stacy Simpson holds a Health insurance with policy number 1808540. It was issued on 2024-06-09 and is valid till 2025-11-29. The premium is ₹8929.29. Family ID: FID-1027. Nominee: Jonathan Horne. IFSC: BDPC01550, GST: 27LTD6048Z8."
INS-190969,Richard Hall,1978-11-19,7847824,Health,2022-12-10,2024-07-03,41805.52,ZEUR35656656312180,TVNS07296,46AND S1932Z2,FID-1007,Julia Alexander,"Richard Hall holds a Health insurance with policy number 7847824. It was issued on 2022-12-10 and is valid till 2024-07-03. The premium is ₹41805.52. Family ID: FID-1007. Nominee: Julia Alexander. IFSC: TVNS07296, GST: 46AND S1932Z2."
INS-905664,Samuel Fletcher,1990-02-26,4312787,Life,2020-07-26,2021-09-30,23659.67,KQMC57358840903684,MABR04478,23LTD6441Z2,FID-1020,Timothy Kennedy DDS,"Samuel Fletcher holds a Life insurance with policy number 4312787. It was issued on 2020-07-26 and is valid till 2021-09-30. The premium is ₹23659.67. Family ID: FID-1020. Nominee: Timothy Kennedy DDS. IFSC: MABR04478, GST: 23LTD6441Z2."
INS-472041,Andrew White,1999-08-17,8668944,Health,2021-01-16,2025-09-13,39610.6,EOYM62417139552968,SWFS02816,75LLC1228Z2,FID-1044,Jillian Parsons,"Andrew White holds a Health insurance with policy number 8668944. It was issued on 2021-01-16 and is valid till 2025-09-13. The premium is ₹39610.6. Family ID: FID-1044. Nominee: Jillian Parsons. IFSC: SWFS02816, GST: 75LLC1228Z2."
INS-126911,Robin Rose MD,2002-10-20,8331966,Home,2022-07-28,2023-09-05,10142.15,NSXY55872152671572,ELKU05832,75AND S7210Z7,FID-1045,Robin Rose MD,"Robin Rose MD holds a Home insurance with policy number 8331966. It was issued on 2022-07-28 and is valid till 2023-09-05. The premium is ₹10142.15. Family ID: FID-1045. Nominee: Robin Rose MD. IFSC: ELKU05832, GST: 75AND S7210Z7."
INS-549507,Garrett Cline,1957-02-01,6882078,Home,2021-06-26,2023-08-03,11721.8,ARWV94432376952612,KCCP07933,73PLC3716Z9,FID-1016,Garrett Cline,"Garrett Cline holds a Home insurance with policy number 6882078. It was issued on 2021-06-26 and is valid till 2023-08-03. The premium is ₹11721.8. Family ID: FID-1016. Nominee: Garrett Cline. IFSC: KCCP07933, GST: 73PLC3716Z9."
INS-837551,Brandon Parker,1991-03-13,6046345,Health,2022-04-05,2027-04-01,22885.83,UKXV31264192844732,KTRR08880,62AND S2238Z4,FID-1044,Jillian Parsons,"Brandon Parker holds a Health insurance with policy number 6046345. It was issued on 2022-04-05 and is valid till 2027-04-01. The premium is ₹22885.83. Family ID: FID-1044. Nominee: Jillian Parsons. IFSC: KTRR08880, GST: 62AND S2238Z4."
INS-858340,Michelle Flores,1962-05-19,4839882,Life,2022-06-30,2026-11-21,21387.61,OUOS86038526501450,CQHN05130,48INC2297Z7,FID-1049,Chase Martin,"Michelle Flores holds a Life insurance with policy number 4839882. It was issued on 2022-06-30 and is valid till 2026-11-21. The premium is ₹21387.61. Family ID: FID-1049. Nominee: Chase Martin. IFSC: CQHN05130, GST: 48INC2297Z7."
INS-856927,Ian Blake,2003-01-07,2769684,Home,2021-01-20,2025-02-13,33942.13,GYAW86278069919931,OXAL04640,73LLC1508Z4,FID-1012,Gina Santos,"Ian Blake holds a Home insurance with policy number 2769684. It was issued on 2021-01-20 and is valid till 2025-02-13. The premium is ₹33942.13. Family ID: FID-1012. Nominee: Gina Santos. IFSC: OXAL04640, GST: 73LLC1508Z4."
INS-818846,Matthew Wilson,1977-07-04,1326109,Travel,2024-05-19,2026-02-24,30835.61,UOSM85183830622462,UITK08054,29INC8632Z1,FID-1028,Matthew Wilson,"Matthew Wilson holds a Travel insurance with policy number 1326109. It was issued on 2024-05-19 and is valid till 2026-02-24. The premium is ₹30835.61. Family ID: FID-1028. Nominee: Matthew Wilson. IFSC: UITK08054, GST: 29INC8632Z1."
INS-265488,Rachel Goodman,1997-07-12,4172610,Travel,2022-07-13,2025-09-04,32692.25,JNRG88477066493072,RSWX08247,92PLC1888Z4,FID-1042,Diane Vazquez,"Rachel Goodman holds a Travel insurance with policy number 4172610. It was issued on 2022-07-13 and is valid till 2025-09-04. The premium is ₹32692.25. Family ID: FID-1042. Nominee: Diane Vazquez. IFSC: RSWX08247, GST: 92PLC1888Z4."
INS-284233,Michael Blair,2003-12-25,3605931,Life,2021-12-06,2025-09-02,43234.36,UWKJ32335032682061,NWBI08327,89GROUP7059Z5,FID-1031,Bradley Johnson,"Michael Blair holds a Life insurance with policy number 3605931. It was issued on 2021-12-06 and is valid till 2025-09-02. The premium is ₹43234.36. Family ID: FID-1031. Nominee: Bradley Johnson. IFSC: NWBI08327, GST: 89GROUP7059Z5."
INS-984654,Rebecca Wilcox,1965-09-04,7742171,Life,2023-04-02,2027-01-16,40957.63,YPAB90932637427867,DXQK07146,25LLC8286Z9,FID-1041,Rebecca Wilcox,"Rebecca Wilcox holds a Life insurance with policy number 7742171. It was issued on 2023-04-02 and is valid till 2027-01-16. The premium is ₹40957.63. Family ID: FID-1041. Nominee: Rebecca Wilcox. IFSC: DXQK07146, GST: 25LLC8286Z9."
INS-893010,Roberta Lynch,1955-02-03,1062521,Life,2024-11-27,2026-12-08,27722.95,KFLM97955540501325,CIAK09484,67AND S5983Z7,FID-1030,Samuel Foster,"Roberta Lynch holds a Life insurance with policy number 1062521. It was issued on 2024-11-27 and is valid till 2026-12-08. The premium is ₹27722.95. Family ID: FID-1030. Nominee: Samuel Foster. IFSC: CIAK09484, GST: 67AND S5983Z7."
INS-740221,Christine Snyder,1997-10-10,7268832,Travel,2024-11-16,2029-07-16,33253.0,BAHX57150094905229,XGFP02543,56PLC9354Z1,FID-1029,Anthony Mahoney,"Christine Snyder holds a Travel insurance with policy number 7268832. It was issued on 2024-11-16 and is valid till 2029-07-16. The premium is ₹33253.0. Family ID: FID-1029. Nominee: Anthony Mahoney. IFSC: XGFP02543, GST: 56PLC9354Z1."
INS-216545,Stacy Simpson,1968-07-17,1921211,Travel,2023-02-28,2026-06-21,30761.64,TQVK02343874311853,MORE04540,26PLC4149Z3,FID-1027,Roger Morrison,"Stacy Simpson holds a Travel insurance with policy number 1921211. It was issued on 2023-02-28 and is valid till 2026-06-21. The premium is ₹30761.64. Family ID: FID-1027. Nominee: Roger Morrison. IFSC: MORE04540, GST: 26PLC4149Z3."
INS-588683,Melissa Smith,1979-01-02,7111099,Home,2021-01-24,2022-03-02,15302.72,CNZB11127942949130,DNZQ01148,93LTD3315Z2,FID-1032,Alison Pineda,"Melissa Smith holds a Home insurance with policy number 7111099. It was issued on 2021-01-24 and is valid till 2022-03-02. The premium is ₹15302.72. Family ID: FID-1032. Nominee: Alison Pineda. IFSC: DNZQ01148, GST: 93LTD3315Z2."
INS-409721,Haley Vaughn,1995-01-30,7814427,Travel,2021-04-16,2023-02-09,9203.34,FLDG61129164353576,DKQU08778,80AND S1103Z8,FID-1022,Emily Case,"Haley Vaughn holds a Travel insurance with policy number 7814427. It was issued on 2021-04-16 and is valid till 2023-02-09. The premium is ₹9203.34. Family ID: FID-1022. Nominee: Emily Case. IFSC: DKQU08778, GST: 80AND S1103Z8."
INS-825907,Amber Graves,1993-01-26,3548064,Vehicle,2023-04-09,2027-05-29,24338.18,OYWJ84332668574123,MHGL09709,68LLC9625Z6,FID-1017,Joel Hood,"Amber Graves holds a Vehicle insurance with policy number 3548064. It was issued on 2023-04-09 and is valid till 2027-05-29. The premium is ₹24338.18. Family ID: FID-1017. Nominee: Joel Hood. IFSC: MHGL09709, GST: 68LLC9625Z6."
INS-742322,Robert Steele,1965-08-17,5778124,Home,2024-10-24,2026-02-01,30131.24,TNHM58442148440435,OGOW02341,70LTD1928Z8,FID-1020,Scott Hall,"Robert Steele holds a Home insurance with policy number 5778124. It was issued on 2024-10-24 and is valid till 2026-02-01. The premium is ₹30131.24. Family ID: FID-1020. Nominee: Scott Hall. IFSC: OGOW02341, GST: 70LTD1928Z8."
INS-311612,Jeffery Herman,1979-10-28,4716112,Life,2021-06-04,2025-06-11,18312.45,SAYM02610421353831,SWQG09036,64GROUP6853Z9,FID-1038,Krystal Woodard,"Jeffery Herman holds a Life insurance with policy number 4716112. It was issued on 2021-06-04 and is valid till 2025-06-11. The premium is ₹18312.45. Family ID: FID-1038. Nominee: Krystal Woodard. IFSC: SWQG09036, GST: 64GROUP6853Z9."
INS-397827,Andrew White,1999-08-17,8855315,Travel,2023-02-25,2028-01-12,21352.65,ZIUE06313440934721,OHOH07599,51PLC1016Z2,FID-1044,Andrew White,"Andrew White holds a Travel insurance with policy number 8855315. It was issued on 2023-02-25 and is valid till 2028-01-12. The premium is ₹21352.65. Family ID: FID-1044. Nominee: Andrew White. IFSC: OHOH07599, GST: 51PLC1016Z2."
INS-333945,Ian Blake,2003-01-07,1658170,Health,2023-04-18,2024-09-13,20172.27,CJUH69549718894390,ZZMD02980,51INC7257Z3,FID-1012,Ian Blake,"Ian Blake holds a Health insurance with policy number 1658170. It was issued on 2023-04-18 and is valid till 2024-09-13. The premium is ₹20172.27. Family ID: FID-1012. Nominee: Ian Blake. IFSC: ZZMD02980, GST: 51INC7257Z3."
INS-983896,Kevin Nielsen,2002-03-05,9685964,Vehicle,2023-12-16,2025-04-28,44778.28,TNZY51702466702801,BKQD05492,57PLC3315Z6,FID-1036,Kevin Nielsen,"Kevin Nielsen holds a Vehicle insurance with policy number 9685964. It was issued on 2023-12-16 and is valid till 2025-04-28. The premium is ₹44778.28. Family ID: FID-1036. Nominee: Kevin Nielsen. IFSC: BKQD05492, GST: 57PLC3315Z6."
INS-985601,Casey Miller,1997-04-30,1624111,Home,2023-06-01,2026-03-30,10267.34,BVIL59539596142968,VWOM08047,55PLC2224Z1,FID-1018,Michelle Reyes,"Casey Miller holds a Home insurance with policy number 1624111. It was issued on 2023-06-01 and is valid till 2026-03-30. The premium is ₹10267.34. Family ID: FID-1018. Nominee: Michelle Reyes. IFSC: VWOM08047, GST: 55PLC2224Z1."
INS-953354,Michael Andrews,1966-09-12,1732611,Travel,2021-11-20,2024-08-09,26707.07,NHIJ26975694342212,TQEF04833,24LLC3248Z1,FID-1041,William Garcia,"Michael Andrews holds a Travel insurance with policy number 1732611. It was issued on 2021-11-20 and is valid till 2024-08-09. The premium is ₹26707.07. Family ID: FID-1041. Nominee: William Garcia. IFSC: TQEF04833, GST: 24LLC3248Z1."
INS-558783,David Martinez,1977-11-16,6996846,Home,2020-08-25,2023-11-25,42001.8,TFSA39833615580592,DXQC05042,20LLC3961Z3,FID-1033,Christine Estrada,"David Martinez holds a Home insurance with policy number 6996846. It was issued on 2020-08-25 and is valid till 2023-11-25. The premium is ₹42001.8. Family ID: FID-1033. Nominee: Christine Estrada. IFSC: DXQC05042, GST: 20LLC3961Z3."
INS-104792,Robert Gordon,2002-08-03,1719413,Life,2023-01-08,2027-11-21,39940.07,KHKV51182626201056,AEIO08315,93AND S1374Z2,FID-1026,Veronica Day,"Robert Gordon holds a Life insurance with policy number 1719413. It was issued on 2023-01-08 and is valid till 2027-11-21. The premium is ₹39940.07. Family ID: FID-1026. Nominee: Veronica Day. IFSC: AEIO08315, GST: 93AND S1374Z2."
INS-247652,Crystal Oneal,1974-12-09,3739151,Vehicle,2020-12-14,2022-03-22,47891.01,RCOT30100623401856,HYNB03520,76PLC4066Z4,FID-1023,Linda Fowler,"Crystal Oneal holds a Vehicle insurance with policy number 3739151. It was issued on 2020-12-14 and is valid till 2022-03-22. The premium is ₹47891.01. Family ID: FID-1023. Nominee: Linda Fowler. IFSC: HYNB03520, GST: 76PLC4066Z4."
INS-650465,Jaime Cook,1956-04-26,8307199,Life,2025-03-02,2029-02-02,7336.7,QUDB30352650836746,HJND07155,34AND S5580Z9,FID-1034,David Martin,"Jaime Cook holds a Life insurance with policy number 8307199. It was issued on 2025-03-02 and is valid till 2029-02-02. The premium is ₹7336.7. Family ID: FID-1034. Nominee: David Martin. IFSC: HJND07155, GST: 34AND S5580Z9."
INS-918822,Rebecca Wilcox,1965-09-04,3503234,Life,2021-04-28,2024-06-27,35840.72,APTC40503220845757,HEYK03922,41AND S6288Z7,FID-1041,Clinton Smith,"Rebecca Wilcox holds a Life insurance with policy number 3503234. It was issued on 2021-04-28 and is valid till 2024-06-27. The premium is ₹35840.72. Family ID: FID-1041. Nominee: Clinton Smith. IFSC: HEYK03922, GST: 41AND S6288Z7."
INS-347198,Katie Diaz,1972-03-19,1985061,Home,2022-12-30,2024-02-22,44353.08,JIPW07224555968361,FDRM02604,59LLC6774Z2,FID-1021,Katie Diaz,"Katie Diaz holds a Home insurance with policy number 1985061. It was issued on 2022-12-30 and is valid till 2024-02-22. The premium is ₹44353.08. Family ID: FID-1021. Nominee: Katie Diaz. IFSC: FDRM02604, GST: 59LLC6774Z2."
INS-603272,Matthew Wilson,1977-07-04,4056379,Life,2022-07-27,2023-10-08,43059.17,EMVI26249805890977,XJJM01040,60GROUP8000Z7,FID-1028,Matthew Wilson,"Matthew Wilson holds a Life insurance with policy number 4056379. It was issued on 2022-07-27 and is valid till 2023-10-08. The premium is ₹43059.17. Family ID: FID-1028. Nominee: Matthew Wilson. IFSC: XJJM01040, GST: 60GROUP8000Z7."
INS-378058,Cheyenne Spencer,1987-12-25,3393731,Life,2023-02-15,2027-10-15,18295.66,QQHX20358350086388,NJCO05840,77LTD9975Z8,FID-1013,Timothy Duncan,"Cheyenne Spencer holds a Life insurance with policy number 3393731. It was issued on 2023-02-15 and is valid till 2027-10-15. The premium is ₹18295.66. Family ID: FID-1013. Nominee: Timothy Duncan. IFSC: NJCO05840, GST: 77LTD9975Z8."
INS-873054,Jennifer David,1984-11-28,8563746,Vehicle,2024-08-01,2025-08-26,6260.88,SONJ63046300764557,ZUFQ01291,48INC5198Z2,FID-1025,Jennifer David,"Jennifer David holds a Vehicle insurance with policy number 8563746. It was issued on 2024-08-01 and is valid till 2025-08-26. The premium is ₹6260.88. Family ID: FID-1025. Nominee: Jennifer David. IFSC: ZUFQ01291, GST: 48INC5198Z2."
INS-564107,Linda Fowler,1981-01-05,8525845,Life,2023-10-02,2025-04-29,8045.21,CUMJ56593337417799,XDNN04738,91PLC3893Z4,FID-1023,Crystal Oneal,"Linda Fowler holds a Life insurance with policy number 8525845. It was issued on 2023-10-02 and is valid till 2025-04-29. The premium is ₹8045.21. Family ID: FID-1023. Nominee: Crystal Oneal. IFSC: XDNN04738, GST: 91PLC3893Z4."
INS-523866,Katie Diaz,1972-03-19,2723724,Home,2025-01-28,2026-06-12,30449.72,GUZM39903776937359,VXLV08301,97AND S6874Z9,FID-1021,Jacob Baldwin,"Katie Diaz holds a Home insurance with policy number 2723724. It was issued on 2025-01-28 and is valid till 2026-06-12. The premium is ₹30449.72. Family ID: FID-1021. Nominee: Jacob Baldwin. IFSC: VXLV08301, GST: 97AND S6874Z9."
INS-231756,Antonio Frazier,1994-05-22,5947471,Home,2021-05-14,2023-01-13,38032.98,IYMV29808706276291,THGO06459,21LLC3316Z1,FID-1005,Kimberly Wilson,"Antonio Frazier holds a Home insurance with policy number 5947471. It was issued on 2021-05-14 and is valid till 2023-01-13. The premium is ₹38032.98. Family ID: FID-1005. Nominee: Kimberly Wilson. IFSC: THGO06459, GST: 21LLC3316Z1."
INS-527789,Alyssa Martin,1997-01-15,2152282,Home,2024-07-13,2028-08-31,21945.51,ADNL24243243971916,HTBE08267,70GROUP1445Z5,FID-1010,Alyssa Martin,"Alyssa Martin holds a Home insurance with policy number 2152282. It was issued on 2024-07-13 and is valid till 2028-08-31. The premium is ₹21945.51. Family ID: FID-1010. Nominee: Alyssa Martin. IFSC: HTBE08267, GST: 70GROUP1445Z5."
INS-686725,Michelle Reyes,1986-06-25,1744686,Vehicle,2022-11-20,2024-07-21,12133.04,BZTF70495842150869,QUWB06279,56LTD9003Z9,FID-1018,Casey Miller,"Michelle Reyes holds a Vehicle insurance with policy number 1744686. It was issued on 2022-11-20 and is valid till 2024-07-21. The premium is ₹12133.04. Family ID: FID-1018. Nominee: Casey Miller. IFSC: QUWB06279, GST: 56LTD9003Z9."
